sk_date,date,year,month_num,month_name,quarter,day_of_week
20150103,2015-01-03,2015,1,January,1,Saturday
20150104,2015-01-04,2015,1,January,1,Sunday
20150105,2015-01-05,2015,1,January,1,Monday
20150106,2015-01-06,2015,1,January,1,Tuesday
20150107,2015-01-07,2015,1,January,1,Wednesday
20150108,2015-01-08,2015,1,January,1,Thursday
20150109,2015-01-09,2015,1,January,1,Friday
20150110,2015-01-10,2015,1,January,1,Saturday
20150111,2015-01-11,2015,1,January,1,Sunday
20150112,2015-01-12,2015,1,January,1,Monday
20150113,2015-01-13,2015,1,January,1,Tuesday
20150114,2015-01-14,2015,1,January,1,Wednesday
20150115,2015-01-15,2015,1,January,1,Thursday
20150116,2015-01-16,2015,1,January,1,Friday
20150117,2015-01-17,2015,1,January,1,Saturday
20150118,2015-01-18,2015,1,January,1,Sunday
20150119,2015-01-19,2015,1,January,1,Monday
20150120,2015-01-20,2015,1,January,1,Tuesday
20150121,2015-01-21,2015,1,January,1,Wednesday
20150122,2015-01-22,2015,1,January,1,Thursday
20150123,2015-01-23,2015,1,January,1,Friday
20150124,2015-01-24,2015,1,January,1,Saturday
20150125,2015-01-25,2015,1,January,1,Sunday
20150126,2015-01-26,2015,1,January,1,Monday
20150127,2015-01-27,2015,1,January,1,Tuesday
20150128,2015-01-28,2015,1,January,1,Wednesday
20150129,2015-01-29,2015,1,January,1,Thursday
20150130,2015-01-30,2015,1,January,1,Friday
20150131,2015-01-31,2015,1,January,1,Saturday
20150201,2015-02-01,2015,2,February,1,Sunday
20150202,2015-02-02,2015,2,February,1,Monday
20150203,2015-02-03,2015,2,February,1,Tuesday
20150204,2015-02-04,2015,2,February,1,Wednesday
20150205,2015-02-05,2015,2,February,1,Thursday
20150206,2015-02-06,2015,2,February,1,Friday
20150207,2015-02-07,2015,2,February,1,Saturday
20150208,2015-02-08,2015,2,February,1,Sunday
20150209,2015-02-09,2015,2,February,1,Monday
20150210,2015-02-10,2015,2,February,1,Tuesday
20150211,2015-02-11,2015,2,February,1,Wednesday
20150212,2015-02-12,2015,2,February,1,Thursday
20150213,2015-02-13,2015,2,February,1,Friday
20150214,2015-02-14,2015,2,February,1,Saturday
20150215,2015-02-15,2015,2,February,1,Sunday
20150216,2015-02-16,2015,2,February,1,Monday
20150217,2015-02-17,2015,2,February,1,Tuesday
20150218,2015-02-18,2015,2,February,1,Wednesday
20150219,2015-02-19,2015,2,February,1,Thursday
20150220,2015-02-20,2015,2,February,1,Friday
20150221,2015-02-21,2015,2,February,1,Saturday
20150222,2015-02-22,2015,2,February,1,Sunday
20150223,2015-02-23,2015,2,February,1,Monday
20150224,2015-02-24,2015,2,February,1,Tuesday
20150225,2015-02-25,2015,2,February,1,Wednesday
20150226,2015-02-26,2015,2,February,1,Thursday
20150227,2015-02-27,2015,2,February,1,Friday
20150228,2015-02-28,2015,2,February,1,Saturday
20150301,2015-03-01,2015,3,March,1,Sunday
20150302,2015-03-02,2015,3,March,1,Monday
20150303,2015-03-03,2015,3,March,1,Tuesday
20150304,2015-03-04,2015,3,March,1,Wednesday
20150305,2015-03-05,2015,3,March,1,Thursday
20150306,2015-03-06,2015,3,March,1,Friday
20150307,2015-03-07,2015,3,March,1,Saturday
20150308,2015-03-08,2015,3,March,1,Sunday
20150309,2015-03-09,2015,3,March,1,Monday
20150310,2015-03-10,2015,3,March,1,Tuesday
20150311,2015-03-11,2015,3,March,1,Wednesday
20150312,2015-03-12,2015,3,March,1,Thursday
20150313,2015-03-13,2015,3,March,1,Friday
20150314,2015-03-14,2015,3,March,1,Saturday
20150315,2015-03-15,2015,3,March,1,Sunday
20150316,2015-03-16,2015,3,March,1,Monday
20150317,2015-03-17,2015,3,March,1,Tuesday
20150318,2015-03-18,2015,3,March,1,Wednesday
20150319,2015-03-19,2015,3,March,1,Thursday
20150320,2015-03-20,2015,3,March,1,Friday
20150321,2015-03-21,2015,3,March,1,Saturday
20150322,2015-03-22,2015,3,March,1,Sunday
20150323,2015-03-23,2015,3,March,1,Monday
20150324,2015-03-24,2015,3,March,1,Tuesday
20150325,2015-03-25,2015,3,March,1,Wednesday
20150326,2015-03-26,2015,3,March,1,Thursday
20150327,2015-03-27,2015,3,March,1,Friday
20150328,2015-03-28,2015,3,March,1,Saturday
20150329,2015-03-29,2015,3,March,1,Sunday
20150330,2015-03-30,2015,3,March,1,Monday
20150331,2015-03-31,2015,3,March,1,Tuesday
20150401,2015-04-01,2015,4,April,2,Wednesday
20150402,2015-04-02,2015,4,April,2,Thursday
20150403,2015-04-03,2015,4,April,2,Friday
20150404,2015-04-04,2015,4,April,2,Saturday
20150405,2015-04-05,2015,4,April,2,Sunday
20150406,2015-04-06,2015,4,April,2,Monday
20150407,2015-04-07,2015,4,April,2,Tuesday
20150408,2015-04-08,2015,4,April,2,Wednesday
20150409,2015-04-09,2015,4,April,2,Thursday
20150410,2015-04-10,2015,4,April,2,Friday
20150411,2015-04-11,2015,4,April,2,Saturday
20150412,2015-04-12,2015,4,April,2,Sunday
20150413,2015-04-13,2015,4,April,2,Monday
20150414,2015-04-14,2015,4,April,2,Tuesday
20150415,2015-04-15,2015,4,April,2,Wednesday
20150416,2015-04-16,2015,4,April,2,Thursday
20150417,2015-04-17,2015,4,April,2,Friday
20150418,2015-04-18,2015,4,April,2,Saturday
20150419,2015-04-19,2015,4,April,2,Sunday
20150420,2015-04-20,2015,4,April,2,Monday
20150421,2015-04-21,2015,4,April,2,Tuesday
20150422,2015-04-22,2015,4,April,2,Wednesday
20150423,2015-04-23,2015,4,April,2,Thursday
20150424,2015-04-24,2015,4,April,2,Friday
20150425,2015-04-25,2015,4,April,2,Saturday
20150426,2015-04-26,2015,4,April,2,Sunday
20150427,2015-04-27,2015,4,April,2,Monday
20150428,2015-04-28,2015,4,April,2,Tuesday
20150429,2015-04-29,2015,4,April,2,Wednesday
20150430,2015-04-30,2015,4,April,2,Thursday
20150501,2015-05-01,2015,5,May,2,Friday
20150502,2015-05-02,2015,5,May,2,Saturday
20150503,2015-05-03,2015,5,May,2,Sunday
20150504,2015-05-04,2015,5,May,2,Monday
20150505,2015-05-05,2015,5,May,2,Tuesday
20150506,2015-05-06,2015,5,May,2,Wednesday
20150507,2015-05-07,2015,5,May,2,Thursday
20150508,2015-05-08,2015,5,May,2,Friday
20150509,2015-05-09,2015,5,May,2,Saturday
20150510,2015-05-10,2015,5,May,2,Sunday
20150511,2015-05-11,2015,5,May,2,Monday
20150512,2015-05-12,2015,5,May,2,Tuesday
20150513,2015-05-13,2015,5,May,2,Wednesday
20150514,2015-05-14,2015,5,May,2,Thursday
20150515,2015-05-15,2015,5,May,2,Friday
20150516,2015-05-16,2015,5,May,2,Saturday
20150517,2015-05-17,2015,5,May,2,Sunday
20150518,2015-05-18,2015,5,May,2,Monday
20150519,2015-05-19,2015,5,May,2,Tuesday
20150520,2015-05-20,2015,5,May,2,Wednesday
20150521,2015-05-21,2015,5,May,2,Thursday
20150522,2015-05-22,2015,5,May,2,Friday
20150523,2015-05-23,2015,5,May,2,Saturday
20150524,2015-05-24,2015,5,May,2,Sunday
20150525,2015-05-25,2015,5,May,2,Monday
20150526,2015-05-26,2015,5,May,2,Tuesday
20150527,2015-05-27,2015,5,May,2,Wednesday
20150528,2015-05-28,2015,5,May,2,Thursday
20150529,2015-05-29,2015,5,May,2,Friday
20150530,2015-05-30,2015,5,May,2,Saturday
20150531,2015-05-31,2015,5,May,2,Sunday
20150601,2015-06-01,2015,6,June,2,Monday
20150602,2015-06-02,2015,6,June,2,Tuesday
20150603,2015-06-03,2015,6,June,2,Wednesday
20150604,2015-06-04,2015,6,June,2,Thursday
20150605,2015-06-05,2015,6,June,2,Friday
20150606,2015-06-06,2015,6,June,2,Saturday
20150607,2015-06-07,2015,6,June,2,Sunday
20150608,2015-06-08,2015,6,June,2,Monday
20150609,2015-06-09,2015,6,June,2,Tuesday
20150610,2015-06-10,2015,6,June,2,Wednesday
20150611,2015-06-11,2015,6,June,2,Thursday
20150612,2015-06-12,2015,6,June,2,Friday
20150613,2015-06-13,2015,6,June,2,Saturday
20150614,2015-06-14,2015,6,June,2,Sunday
20150615,2015-06-15,2015,6,June,2,Monday
20150616,2015-06-16,2015,6,June,2,Tuesday
20150617,2015-06-17,2015,6,June,2,Wednesday
20150618,2015-06-18,2015,6,June,2,Thursday
20150619,2015-06-19,2015,6,June,2,Friday
20150620,2015-06-20,2015,6,June,2,Saturday
20150621,2015-06-21,2015,6,June,2,Sunday
20150622,2015-06-22,2015,6,June,2,Monday
20150623,2015-06-23,2015,6,June,2,Tuesday
20150624,2015-06-24,2015,6,June,2,Wednesday
20150625,2015-06-25,2015,6,June,2,Thursday
20150626,2015-06-26,2015,6,June,2,Friday
20150627,2015-06-27,2015,6,June,2,Saturday
20150628,2015-06-28,2015,6,June,2,Sunday
20150629,2015-06-29,2015,6,June,2,Monday
20150630,2015-06-30,2015,6,June,2,Tuesday
20150701,2015-07-01,2015,7,July,3,Wednesday
20150702,2015-07-02,2015,7,July,3,Thursday
20150703,2015-07-03,2015,7,July,3,Friday
20150704,2015-07-04,2015,7,July,3,Saturday
20150705,2015-07-05,2015,7,July,3,Sunday
20150706,2015-07-06,2015,7,July,3,Monday
20150707,2015-07-07,2015,7,July,3,Tuesday
20150708,2015-07-08,2015,7,July,3,Wednesday
20150709,2015-07-09,2015,7,July,3,Thursday
20150710,2015-07-10,2015,7,July,3,Friday
20150711,2015-07-11,2015,7,July,3,Saturday
20150712,2015-07-12,2015,7,July,3,Sunday
20150713,2015-07-13,2015,7,July,3,Monday
20150714,2015-07-14,2015,7,July,3,Tuesday
20150715,2015-07-15,2015,7,July,3,Wednesday
20150716,2015-07-16,2015,7,July,3,Thursday
20150717,2015-07-17,2015,7,July,3,Friday
20150718,2015-07-18,2015,7,July,3,Saturday
20150719,2015-07-19,2015,7,July,3,Sunday
20150720,2015-07-20,2015,7,July,3,Monday
20150721,2015-07-21,2015,7,July,3,Tuesday
20150722,2015-07-22,2015,7,July,3,Wednesday
20150723,2015-07-23,2015,7,July,3,Thursday
20150724,2015-07-24,2015,7,July,3,Friday
20150725,2015-07-25,2015,7,July,3,Saturday
20150726,2015-07-26,2015,7,July,3,Sunday
20150727,2015-07-27,2015,7,July,3,Monday
20150728,2015-07-28,2015,7,July,3,Tuesday
20150729,2015-07-29,2015,7,July,3,Wednesday
20150730,2015-07-30,2015,7,July,3,Thursday
20150731,2015-07-31,2015,7,July,3,Friday
20150801,2015-08-01,2015,8,August,3,Saturday
20150802,2015-08-02,2015,8,August,3,Sunday
20150803,2015-08-03,2015,8,August,3,Monday
20150804,2015-08-04,2015,8,August,3,Tuesday
20150805,2015-08-05,2015,8,August,3,Wednesday
20150806,2015-08-06,2015,8,August,3,Thursday
20150807,2015-08-07,2015,8,August,3,Friday
20150808,2015-08-08,2015,8,August,3,Saturday
20150809,2015-08-09,2015,8,August,3,Sunday
20150810,2015-08-10,2015,8,August,3,Monday
20150811,2015-08-11,2015,8,August,3,Tuesday
20150812,2015-08-12,2015,8,August,3,Wednesday
20150813,2015-08-13,2015,8,August,3,Thursday
20150814,2015-08-14,2015,8,August,3,Friday
20150815,2015-08-15,2015,8,August,3,Saturday
20150816,2015-08-16,2015,8,August,3,Sunday
20150817,2015-08-17,2015,8,August,3,Monday
20150818,2015-08-18,2015,8,August,3,Tuesday
20150819,2015-08-19,2015,8,August,3,Wednesday
20150820,2015-08-20,2015,8,August,3,Thursday
20150821,2015-08-21,2015,8,August,3,Friday
20150822,2015-08-22,2015,8,August,3,Saturday
20150823,2015-08-23,2015,8,August,3,Sunday
20150824,2015-08-24,2015,8,August,3,Monday
20150825,2015-08-25,2015,8,August,3,Tuesday
20150826,2015-08-26,2015,8,August,3,Wednesday
20150827,2015-08-27,2015,8,August,3,Thursday
20150828,2015-08-28,2015,8,August,3,Friday
20150829,2015-08-29,2015,8,August,3,Saturday
20150830,2015-08-30,2015,8,August,3,Sunday
20150831,2015-08-31,2015,8,August,3,Monday
20150901,2015-09-01,2015,9,September,3,Tuesday
20150902,2015-09-02,2015,9,September,3,Wednesday
20150903,2015-09-03,2015,9,September,3,Thursday
20150904,2015-09-04,2015,9,September,3,Friday
20150905,2015-09-05,2015,9,September,3,Saturday
20150906,2015-09-06,2015,9,September,3,Sunday
20150907,2015-09-07,2015,9,September,3,Monday
20150908,2015-09-08,2015,9,September,3,Tuesday
20150909,2015-09-09,2015,9,September,3,Wednesday
20150910,2015-09-10,2015,9,September,3,Thursday
20150911,2015-09-11,2015,9,September,3,Friday
20150912,2015-09-12,2015,9,September,3,Saturday
20150913,2015-09-13,2015,9,September,3,Sunday
20150914,2015-09-14,2015,9,September,3,Monday
20150915,2015-09-15,2015,9,September,3,Tuesday
20150916,2015-09-16,2015,9,September,3,Wednesday
20150917,2015-09-17,2015,9,September,3,Thursday
20150918,2015-09-18,2015,9,September,3,Friday
20150919,2015-09-19,2015,9,September,3,Saturday
20150920,2015-09-20,2015,9,September,3,Sunday
20150921,2015-09-21,2015,9,September,3,Monday
20150922,2015-09-22,2015,9,September,3,Tuesday
20150923,2015-09-23,2015,9,September,3,Wednesday
20150924,2015-09-24,2015,9,September,3,Thursday
20150925,2015-09-25,2015,9,September,3,Friday
20150926,2015-09-26,2015,9,September,3,Saturday
20150927,2015-09-27,2015,9,September,3,Sunday
20150928,2015-09-28,2015,9,September,3,Monday
20150929,2015-09-29,2015,9,September,3,Tuesday
20150930,2015-09-30,2015,9,September,3,Wednesday
20151001,2015-10-01,2015,10,October,4,Thursday
20151002,2015-10-02,2015,10,October,4,Friday
20151003,2015-10-03,2015,10,October,4,Saturday
20151004,2015-10-04,2015,10,October,4,Sunday
20151005,2015-10-05,2015,10,October,4,Monday
20151006,2015-10-06,2015,10,October,4,Tuesday
20151007,2015-10-07,2015,10,October,4,Wednesday
20151008,2015-10-08,2015,10,October,4,Thursday
20151009,2015-10-09,2015,10,October,4,Friday
20151010,2015-10-10,2015,10,October,4,Saturday
20151011,2015-10-11,2015,10,October,4,Sunday
20151012,2015-10-12,2015,10,October,4,Monday
20151013,2015-10-13,2015,10,October,4,Tuesday
20151014,2015-10-14,2015,10,October,4,Wednesday
20151015,2015-10-15,2015,10,October,4,Thursday
20151016,2015-10-16,2015,10,October,4,Friday
20151017,2015-10-17,2015,10,October,4,Saturday
20151018,2015-10-18,2015,10,October,4,Sunday
20151019,2015-10-19,2015,10,October,4,Monday
20151020,2015-10-20,2015,10,October,4,Tuesday
20151021,2015-10-21,2015,10,October,4,Wednesday
20151022,2015-10-22,2015,10,October,4,Thursday
20151023,2015-10-23,2015,10,October,4,Friday
20151024,2015-10-24,2015,10,October,4,Saturday
20151025,2015-10-25,2015,10,October,4,Sunday
20151026,2015-10-26,2015,10,October,4,Monday
20151027,2015-10-27,2015,10,October,4,Tuesday
20151028,2015-10-28,2015,10,October,4,Wednesday
20151029,2015-10-29,2015,10,October,4,Thursday
20151030,2015-10-30,2015,10,October,4,Friday
20151031,2015-10-31,2015,10,October,4,Saturday
20151101,2015-11-01,2015,11,November,4,Sunday
20151102,2015-11-02,2015,11,November,4,Monday
20151103,2015-11-03,2015,11,November,4,Tuesday
20151104,2015-11-04,2015,11,November,4,Wednesday
20151105,2015-11-05,2015,11,November,4,Thursday
20151106,2015-11-06,2015,11,November,4,Friday
20151107,2015-11-07,2015,11,November,4,Saturday
20151108,2015-11-08,2015,11,November,4,Sunday
20151109,2015-11-09,2015,11,November,4,Monday
20151110,2015-11-10,2015,11,November,4,Tuesday
20151111,2015-11-11,2015,11,November,4,Wednesday
20151112,2015-11-12,2015,11,November,4,Thursday
20151113,2015-11-13,2015,11,November,4,Friday
20151114,2015-11-14,2015,11,November,4,Saturday
20151115,2015-11-15,2015,11,November,4,Sunday
20151116,2015-11-16,2015,11,November,4,Monday
20151117,2015-11-17,2015,11,November,4,Tuesday
20151118,2015-11-18,2015,11,November,4,Wednesday
20151119,2015-11-19,2015,11,November,4,Thursday
20151120,2015-11-20,2015,11,November,4,Friday
20151121,2015-11-21,2015,11,November,4,Saturday
20151122,2015-11-22,2015,11,November,4,Sunday
20151123,2015-11-23,2015,11,November,4,Monday
20151124,2015-11-24,2015,11,November,4,Tuesday
20151125,2015-11-25,2015,11,November,4,Wednesday
20151126,2015-11-26,2015,11,November,4,Thursday
20151127,2015-11-27,2015,11,November,4,Friday
20151128,2015-11-28,2015,11,November,4,Saturday
20151129,2015-11-29,2015,11,November,4,Sunday
20151130,2015-11-30,2015,11,November,4,Monday
20151201,2015-12-01,2015,12,December,4,Tuesday
20151202,2015-12-02,2015,12,December,4,Wednesday
20151203,2015-12-03,2015,12,December,4,Thursday
20151204,2015-12-04,2015,12,December,4,Friday
20151205,2015-12-05,2015,12,December,4,Saturday
20151206,2015-12-06,2015,12,December,4,Sunday
20151207,2015-12-07,2015,12,December,4,Monday
20151208,2015-12-08,2015,12,December,4,Tuesday
20151209,2015-12-09,2015,12,December,4,Wednesday
20151210,2015-12-10,2015,12,December,4,Thursday
20151211,2015-12-11,2015,12,December,4,Friday
20151212,2015-12-12,2015,12,December,4,Saturday
20151213,2015-12-13,2015,12,December,4,Sunday
20151214,2015-12-14,2015,12,December,4,Monday
20151215,2015-12-15,2015,12,December,4,Tuesday
20151216,2015-12-16,2015,12,December,4,Wednesday
20151217,2015-12-17,2015,12,December,4,Thursday
20151218,2015-12-18,2015,12,December,4,Friday
20151219,2015-12-19,2015,12,December,4,Saturday
20151220,2015-12-20,2015,12,December,4,Sunday
20151221,2015-12-21,2015,12,December,4,Monday
20151222,2015-12-22,2015,12,December,4,Tuesday
20151223,2015-12-23,2015,12,December,4,Wednesday
20151224,2015-12-24,2015,12,December,4,Thursday
20151225,2015-12-25,2015,12,December,4,Friday
20151226,2015-12-26,2015,12,December,4,Saturday
20151227,2015-12-27,2015,12,December,4,Sunday
20151228,2015-12-28,2015,12,December,4,Monday
20151229,2015-12-29,2015,12,December,4,Tuesday
20151230,2015-12-30,2015,12,December,4,Wednesday
20151231,2015-12-31,2015,12,December,4,Thursday
20160101,2016-01-01,2016,1,January,1,Friday
20160102,2016-01-02,2016,1,January,1,Saturday
20160103,2016-01-03,2016,1,January,1,Sunday
20160104,2016-01-04,2016,1,January,1,Monday
20160105,2016-01-05,2016,1,January,1,Tuesday
20160106,2016-01-06,2016,1,January,1,Wednesday
20160107,2016-01-07,2016,1,January,1,Thursday
20160108,2016-01-08,2016,1,January,1,Friday
20160109,2016-01-09,2016,1,January,1,Saturday
20160110,2016-01-10,2016,1,January,1,Sunday
20160111,2016-01-11,2016,1,January,1,Monday
20160112,2016-01-12,2016,1,January,1,Tuesday
20160113,2016-01-13,2016,1,January,1,Wednesday
20160114,2016-01-14,2016,1,January,1,Thursday
20160115,2016-01-15,2016,1,January,1,Friday
20160116,2016-01-16,2016,1,January,1,Saturday
20160117,2016-01-17,2016,1,January,1,Sunday
20160118,2016-01-18,2016,1,January,1,Monday
20160119,2016-01-19,2016,1,January,1,Tuesday
20160120,2016-01-20,2016,1,January,1,Wednesday
20160121,2016-01-21,2016,1,January,1,Thursday
20160122,2016-01-22,2016,1,January,1,Friday
20160123,2016-01-23,2016,1,January,1,Saturday
20160124,2016-01-24,2016,1,January,1,Sunday
20160125,2016-01-25,2016,1,January,1,Monday
20160126,2016-01-26,2016,1,January,1,Tuesday
20160127,2016-01-27,2016,1,January,1,Wednesday
20160128,2016-01-28,2016,1,January,1,Thursday
20160129,2016-01-29,2016,1,January,1,Friday
20160130,2016-01-30,2016,1,January,1,Saturday
20160131,2016-01-31,2016,1,January,1,Sunday
20160201,2016-02-01,2016,2,February,1,Monday
20160202,2016-02-02,2016,2,February,1,Tuesday
20160203,2016-02-03,2016,2,February,1,Wednesday
20160204,2016-02-04,2016,2,February,1,Thursday
20160205,2016-02-05,2016,2,February,1,Friday
20160206,2016-02-06,2016,2,February,1,Saturday
20160207,2016-02-07,2016,2,February,1,Sunday
20160208,2016-02-08,2016,2,February,1,Monday
20160209,2016-02-09,2016,2,February,1,Tuesday
20160210,2016-02-10,2016,2,February,1,Wednesday
20160211,2016-02-11,2016,2,February,1,Thursday
20160212,2016-02-12,2016,2,February,1,Friday
20160213,2016-02-13,2016,2,February,1,Saturday
20160214,2016-02-14,2016,2,February,1,Sunday
20160215,2016-02-15,2016,2,February,1,Monday
20160216,2016-02-16,2016,2,February,1,Tuesday
20160217,2016-02-17,2016,2,February,1,Wednesday
20160218,2016-02-18,2016,2,February,1,Thursday
20160219,2016-02-19,2016,2,February,1,Friday
20160220,2016-02-20,2016,2,February,1,Saturday
20160221,2016-02-21,2016,2,February,1,Sunday
20160222,2016-02-22,2016,2,February,1,Monday
20160223,2016-02-23,2016,2,February,1,Tuesday
20160224,2016-02-24,2016,2,February,1,Wednesday
20160225,2016-02-25,2016,2,February,1,Thursday
20160226,2016-02-26,2016,2,February,1,Friday
20160227,2016-02-27,2016,2,February,1,Saturday
20160228,2016-02-28,2016,2,February,1,Sunday
20160229,2016-02-29,2016,2,February,1,Monday
20160301,2016-03-01,2016,3,March,1,Tuesday
20160302,2016-03-02,2016,3,March,1,Wednesday
20160303,2016-03-03,2016,3,March,1,Thursday
20160304,2016-03-04,2016,3,March,1,Friday
20160305,2016-03-05,2016,3,March,1,Saturday
20160306,2016-03-06,2016,3,March,1,Sunday
20160307,2016-03-07,2016,3,March,1,Monday
20160308,2016-03-08,2016,3,March,1,Tuesday
20160309,2016-03-09,2016,3,March,1,Wednesday
20160310,2016-03-10,2016,3,March,1,Thursday
20160311,2016-03-11,2016,3,March,1,Friday
20160312,2016-03-12,2016,3,March,1,Saturday
20160313,2016-03-13,2016,3,March,1,Sunday
20160314,2016-03-14,2016,3,March,1,Monday
20160315,2016-03-15,2016,3,March,1,Tuesday
20160316,2016-03-16,2016,3,March,1,Wednesday
20160317,2016-03-17,2016,3,March,1,Thursday
20160318,2016-03-18,2016,3,March,1,Friday
20160319,2016-03-19,2016,3,March,1,Saturday
20160320,2016-03-20,2016,3,March,1,Sunday
20160321,2016-03-21,2016,3,March,1,Monday
20160322,2016-03-22,2016,3,March,1,Tuesday
20160323,2016-03-23,2016,3,March,1,Wednesday
20160324,2016-03-24,2016,3,March,1,Thursday
20160325,2016-03-25,2016,3,March,1,Friday
20160326,2016-03-26,2016,3,March,1,Saturday
20160327,2016-03-27,2016,3,March,1,Sunday
20160328,2016-03-28,2016,3,March,1,Monday
20160329,2016-03-29,2016,3,March,1,Tuesday
20160330,2016-03-30,2016,3,March,1,Wednesday
20160331,2016-03-31,2016,3,March,1,Thursday
20160401,2016-04-01,2016,4,April,2,Friday
20160402,2016-04-02,2016,4,April,2,Saturday
20160403,2016-04-03,2016,4,April,2,Sunday
20160404,2016-04-04,2016,4,April,2,Monday
20160405,2016-04-05,2016,4,April,2,Tuesday
20160406,2016-04-06,2016,4,April,2,Wednesday
20160407,2016-04-07,2016,4,April,2,Thursday
20160408,2016-04-08,2016,4,April,2,Friday
20160409,2016-04-09,2016,4,April,2,Saturday
20160410,2016-04-10,2016,4,April,2,Sunday
20160411,2016-04-11,2016,4,April,2,Monday
20160412,2016-04-12,2016,4,April,2,Tuesday
20160413,2016-04-13,2016,4,April,2,Wednesday
20160414,2016-04-14,2016,4,April,2,Thursday
20160415,2016-04-15,2016,4,April,2,Friday
20160416,2016-04-16,2016,4,April,2,Saturday
20160417,2016-04-17,2016,4,April,2,Sunday
20160418,2016-04-18,2016,4,April,2,Monday
20160419,2016-04-19,2016,4,April,2,Tuesday
20160420,2016-04-20,2016,4,April,2,Wednesday
20160421,2016-04-21,2016,4,April,2,Thursday
20160422,2016-04-22,2016,4,April,2,Friday
20160423,2016-04-23,2016,4,April,2,Saturday
20160424,2016-04-24,2016,4,April,2,Sunday
20160425,2016-04-25,2016,4,April,2,Monday
20160426,2016-04-26,2016,4,April,2,Tuesday
20160427,2016-04-27,2016,4,April,2,Wednesday
20160428,2016-04-28,2016,4,April,2,Thursday
20160429,2016-04-29,2016,4,April,2,Friday
20160430,2016-04-30,2016,4,April,2,Saturday
20160501,2016-05-01,2016,5,May,2,Sunday
20160502,2016-05-02,2016,5,May,2,Monday
20160503,2016-05-03,2016,5,May,2,Tuesday
